product_id,category,name,price_usd,cost_usd,margin_usd
1,Electronics,ssd mediumblue 149,570.28,352.69,217.59
2,Electronics,keyboard deeppink 696,498.13,263.13,235.0
3,Electronics,headphones orchid 188,548.53,309.6,238.93
4,Electronics,smartwatch burlywood 664,268.36,153.56,114.8
5,Electronics,smartwatch cornsilk 328,63.69,42.65,21.04
6,Electronics,headphones whitesmoke 326,358.95,222.19,136.76
7,Electronics,headphones darkgray 529,347.3,187.53,159.77
8,Electronics,mouse moccasin 673,338.19,227.02,111.17
9,Electronics,mouse chartreuse 292,88.74,59.58,29.16
10,Electronics,ssd tan 677,85.54,61.04,24.5
11,Electronics,headphones hotpink 644,382.84,248.43,134.41
12,Electronics,smartwatch blue 564,473.02,302.58,170.44
13,Electronics,ssd darkcyan 815,200.87,148.31,52.56
14,Electronics,webcam powderblue 606,76.66,45.24,31.42
15,Electronics,ssd peachpuff 174,445.78,261.4,184.38
16,Electronics,keyboard cornflowerblue 450,321.8,176.83,144.97
17,Electronics,mouse lawngreen 784,561.96,352.07,209.89
18,Electronics,keyboard darkgoldenrod 996,465.81,312.98,152.83
19,Electronics,ssd peru 608,223.87,135.45,88.42
20,Electronics,speaker chocolate 376,69.19,36.54,32.65
21,Electronics,speaker darkred 848,427.31,221.99,205.32
22,Electronics,monitor ivory 941,398.86,318.26,80.6
23,Electronics,speaker chocolate 784,192.22,118.36,73.86
24,Electronics,ssd orchid 272,42.86,27.37,15.49
25,Electronics,keyboard burlywood 394,311.41,176.09,135.32
26,Electronics,mouse indigo 992,450.87,279.26,171.61
27,Electronics,speaker brown 662,75.93,48.2,27.73
28,Electronics,monitor darkslateblue 984,533.53,397.9,135.63
29,Electronics,monitor lightsteelblue 799,432.65,344.36,88.29
30,Electronics,smartwatch peachpuff 280,575.91,314.03,261.88
31,Electronics,mouse darkturquoise 596,162.22,92.47,69.75
32,Electronics,mouse yellow 529,179.77,90.11,89.66
33,Electronics,ssd darkorchid 228,377.59,224.89,152.7
34,Electronics,headphones linen 995,290.29,221.0,69.29
35,Electronics,smartwatch gainsboro 593,256.9,158.82,98.08
36,Electronics,smartwatch darkkhaki 313,65.48,34.06,31.42
37,Electronics,speaker gold 153,122.51,73.75,48.76
38,Electronics,keyboard navy 203,30.13,16.43,13.7
39,Electronics,ssd darkgray 312,379.83,197.93,181.9
40,Electronics,smartwatch coral 455,114.67,66.01,48.66
41,Electronics,ssd chocolate 599,300.27,160.53,139.74
42,Electronics,speaker greenyellow 247,303.83,180.34,123.49
43,Electronics,keyboard springgreen 590,457.31,330.23,127.08
44,Electronics,mouse white 640,324.31,182.12,142.19
45,Electronics,ssd pink 127,113.56,75.28,38.28
46,Electronics,monitor maroon 812,587.75,446.1,141.65
47,Electronics,monitor seagreen 464,325.49,251.43,74.06
48,Electronics,webcam saddlebrown 437,333.58,244.75,88.83
49,Electronics,webcam mistyrose 876,379.54,279.54,100.0
50,Electronics,webcam lime 857,489.46,364.89,124.57
51,Electronics,webcam lightblue 848,143.95,93.26,50.69
52,Electronics,headphones gainsboro 583,594.07,437.85,156.22
53,Electronics,monitor lemonchiffon 452,140.38,95.67,44.71
54,Electronics,speaker cyan 457,490.88,351.93,138.95
55,Electronics,ssd lime 581,75.91,40.28,35.63
56,Electronics,webcam violet 724,222.51,143.47,79.04
57,Electronics,headphones snow 918,303.3,211.06,92.24
58,Electronics,keyboard mediumspringgreen 497,505.75,271.07,234.68
59,Electronics,webcam rosybrown 908,302.48,167.44,135.04
60,Electronics,ssd lightslategray 839,79.45,62.28,17.17
61,Electronics,smartwatch cornsilk 186,294.0,212.56,81.44
62,Electronics,mouse darkorchid 254,126.9,68.29,58.61
63,Electronics,speaker thistle 946,489.71,266.33,223.38
64,Electronics,speaker peachpuff 661,404.64,244.86,159.78
65,Electronics,mouse firebrick 843,42.2,31.22,10.98
66,Electronics,keyboard mediumspringgreen 544,330.15,257.55,72.6
67,Electronics,webcam deeppink 357,500.91,282.17,218.74
68,Electronics,webcam slategray 700,196.99,112.71,84.28
69,Electronics,ssd peachpuff 234,177.84,111.28,66.56
70,Electronics,headphones blueviolet 569,548.71,332.59,216.12
71,Electronics,smartwatch crimson 233,501.47,382.85,118.62
72,Electronics,mouse maroon 550,328.4,166.04,162.36
73,Electronics,mouse mediumspringgreen 253,376.88,276.18,100.7
74,Electronics,mouse mediumvioletred 223,110.69,75.9,34.79
75,Electronics,headphones springgreen 668,215.81,141.46,74.35
76,Electronics,speaker saddlebrown 673,477.04,253.71,223.33
