ds,yhat
2020-01-01,2246.647205623347
2020-01-02,2370.1305501984457
2020-01-03,2258.652537603419
2020-01-04,2282.5738758359635
2020-01-05,2327.9685385036046
2020-01-06,2255.779781600153
2020-01-07,2221.2790449418435
2020-01-08,2250.4308902759444
2020-01-09,2361.3137058130933
2020-01-10,2237.2835266004363
2020-01-11,2248.924822372912
2020-01-12,2282.532389602433
2020-01-13,2199.262248755632
2020-01-14,2154.5855325388056
2020-01-15,2174.6486481009747
2020-01-16,2277.689570161464
2020-01-17,2147.1977344056772
2020-01-18,2153.8614920295704
2020-01-19,2184.0473575121628
2020-01-20,2098.9490292718547
2020-01-21,2054.040228500796
2020-01-22,2075.434677562871
2020-01-23,2181.3030908762344
2020-01-24,2055.0346403266044
2020-01-25,2067.186825378948
2020-01-26,2103.967926346365
2020-01-27,2026.3899450739539
2020-01-28,1989.725982892238
2020-01-29,2019.8752641024691
2020-01-30,2134.785549942006
2020-01-31,2017.62026554709
2020-02-01,2038.7141226757274
2020-02-02,2084.0612652771865
2020-02-03,2014.4736909066721
2020-02-04,1985.043750824225
2020-02-05,2021.5137983382956
2020-02-06,2141.702603778957
2020-02-07,2028.6757478433694
2020-02-08,2052.703684201007
2020-02-09,2099.7514282095945
2020-02-10,2030.6375782436721
2020-02-11,2000.4964512177733
2020-02-12,2035.1464066236267
2020-02-13,2152.5140083821416
2020-02-14,2035.801292647165
2020-02-15,2055.4399130134248
2020-02-16,2097.576222689511
2020-02-17,2023.2251223494363
2020-02-18,1987.7265937347202
2020-02-19,2017.1081444441534
2020-02-20,2129.5029728596887
2020-02-21,2008.3112852260206
2020-02-22,2024.148699948936
2020-02-23,2063.3259575403627
2020-02-24,1986.9979146137098
2020-02-25,1950.61587836546
2020-02-26,1980.2866261560414
2020-02-27,2094.188017746682
2020-02-28,1975.7287074147603
2020-02-29,1995.495940592712
2020-03-01,2039.7356759039153
2020-03-02,1969.5030055421703
2020-03-03,1940.116897054439
2020-03-04,1977.5225406143068
2020-03-05,2099.7111232193947
2020-03-06,1989.8844274925311
2020-03-07,2018.4081097558255
2020-03-08,2071.297751237314
2020-03-09,2009.375495351287
2020-03-10,1987.7311254427404
2020-03-11,2032.0906941491296
2020-03-12,2160.2423541048856
2020-03-13,2055.2066206526447
2020-03-14,2087.1947648107466
2020-03-15,2142.0992881296393
2020-03-16,2080.654168553383
2020-03-17,2057.8986296926532
2020-03-18,2099.547467641039
2020-03-19,2223.417534442109
2020-03-20,2112.597587456482
2020-03-21,2137.405210014326
2020-03-22,2183.8747913747234
2020-03-23,2112.9143195481765
2020-03-24,2079.764830229939
2020-03-25,2110.3656607761404
2020-03-26,2222.775243979337
2020-03-27,2100.3348036894486
2020-03-28,2113.6188234631895
2020-03-29,2148.9164504572377
2020-03-30,2067.3817659778438
2020-03-31,2024.4869425043428
2020-04-01,2046.3816065582819
2020-04-02,2151.3083017398767
2020-04-03,2022.7615582774345
2020-04-04,2031.4345652709392
2020-04-05,2063.6977100960753
2020-04-06,1980.7469930187774
2020-04-07,1938.05638574801
2020-04-08,1961.7374730721367
2020-04-09,2069.956262039362
2020-04-10,1946.0946257337193
2020-04-11,1960.7003102310655
2020-04-12,1999.9696751539154
2020-04-13,1924.9010580026236
2020-04-14,1890.7526925479037
2020-04-15,1923.4083653028513
2020-04-16,2040.8005270120832
2020-04-17,1926.0781509773478
2020-04-18,1949.5630887354769
2020-04-19,1997.2389175753747
2020-04-20,1929.9100011652613
2020-04-21,1902.664536427602
2020-04-22,1941.244629644014
2020-04-23,2063.4729977551797
2020-04-24,1952.4234891252245
2020-04-25,1978.3791028702706
2020-04-26,2027.321457944456
2020-04-27,1960.089419277778
2020-04-28,1931.8406697980804
2020-04-29,1968.419316263796
2020-04-30,2087.7791977433626
2020-05-01,1973.1501897931794
2020-05-02,1994.9913053027635
2020-05-03,2039.4746847599406
2020-05-04,1967.638340450361
2020-05-05,1934.8416119439075
2020-05-06,1967.1265958122854
2020-05-07,2082.635395057027
2020-05-08,1964.770654580145
2020-05-09,1984.1433487221143
2020-05-10,2027.052065815028
2020-05-11,1954.6317893214252
2020-05-12,1922.306247034749
2020-05-13,1956.147181262604
2020-05-14,2074.2904487880123
2020-05-15,1960.0964517879509
2020-05-16,1984.0988711596642
2020-05-17,2032.4859238067318
2020-05-18,1966.2520863148125
2020-05-19,1940.6542839567958
2020-05-20,1981.5757841029385
2020-05-21,2106.94757877949
2020-05-22,1999.9146099932384
2020-05-23,2030.7906478840537
