customer_id,recommended_product
1,387
1,426
1,468
1,981
1,670
2,1046
2,541
2,991
2,1094
2,611
3,132
3,873
3,992
3,370
3,995
4,747
4,962
4,409
4,1160
4,1041
5,198
5,250
5,824
5,507
5,445
6,101
6,1077
6,511
6,38
6,1126
7,391
7,881
7,719
7,896
7,375
8,249
8,907
8,1123
8,1184
8,1144
9,37
9,9
9,1047
9,358
9,1128
10,214
10,343
10,1161
10,887
10,1049
12,862
12,51
12,1151
12,507
12,619
14,428
14,1155
14,350
14,311
14,224
15,1041
15,1099
15,416
15,778
15,665
16,84
16,882
16,1036
16,866
16,881
17,1017
17,908
17,879
17,1049
17,634
18,1101
18,1041
18,759
18,1033
18,875
19,993
19,1137
19,498
19,875
19,190
20,612
20,705
20,997
20,1176
20,501
22,1179
22,40
22,366
22,394
22,333
23,262
23,909
23,308
23,179
23,793
25,27
25,289
25,19
25,884
25,360
26,369
26,457
26,1090
26,521
26,976
27,668
27,486
27,173
27,579
27,1177
28,817
28,1022
28,849
28,485
28,476
29,938
29,1048
29,1115
29,1172
29,1121
30,243
30,121
30,279
30,930
30,919
31,502
31,795
31,93
31,926
31,365
32,183
32,1177
32,918
32,1108
32,1101
34,1120
34,903
34,621
34,327
34,691
35,548
35,879
35,231
35,176
35,827
36,1055
36,601
36,908
36,1065
36,221
37,74
37,499
37,1047
37,189
37,1165
39,392
39,819
39,716
39,1069
39,665
40,1025
40,1140
40,290
40,208
40,132
42,886
42,871
42,958
42,55
42,897
43,504
43,669
43,418
43,442
43,857
45,1092
45,1126
45,692
45,1189
45,395
46,287
46,987
46,1082
46,369
46,1136
48,741
48,680
48,1097
48,1043
48,1187
49,709
49,418
49,601
49,532
49,295
50,723
50,1041
50,281
50,1173
50,1047
51,1193
51,1050
51,1087
51,1067
51,485
52,1049
52,924
52,1133
52,1176
52,1028
54,708
54,992
54,400
54,897
54,966
55,884
55,1159
55,1015
55,494
55,702
56,1052
56,932
56,1031
56,1065
56,1033
57,323
57,231
57,215
57,869
57,422
58,444
58,250
58,918
58,1142
58,1177
59,1025
59,289
59,980
59,1146
59,630
60,867
60,1012
60,404
60,1001
60,1190
61,362
61,811
61,1154
61,377
61,142
62,1185
62,271
62,427
62,1009
62,1071
63,689
63,899
63,822
63,665
63,392
64,993
64,220
64,885
64,938
64,548
65,575
65,300
65,669
65,818
65,999
66,1173
66,437
66,529
66,473
66,747
68,993
68,1194
68,1034
68,944
68,1018
69,358
69,463
69,409
69,377
69,297
70,365
70,1116
70,216
70,1061
70,795
72,231
72,485
72,868
72,1181
72,792
73,485
73,710
73,819
73,1067
73,758
74,1097
74,1014
74,827
74,782
74,914
75,555
75,65
75,373
75,416
75,5
76,790
76,504
76,280
76,376
76,784
78,1142
78,620
78,1054
78,995
78,498
79,1114
79,428
79,123
79,1021
79,944
80,243
80,895
80,911
80,1064
80,1029
81,778
81,963
81,891
81,966
81,896
82,985
82,103
82,494
82,1187
82,979
85,183
85,790
85,1101
85,1030
85,1073
86,712
86,563
86,312
86,725
86,243
91,762
91,278
91,1162
91,896
91,249
92,905
92,1041
92,948
92,991
92,962
93,1158
93,481
93,405
93,995
93,454
94,290
94,595
94,318
94,94
94,1090
95,346
95,817
95,716
95,1102
95,528
97,981
97,883
97,550
97,1057
97,464
98,1055
98,601
98,1063
98,890
98,529
99,115
99,866
99,426
99,944
99,394
100,989
100,1130
100,496
100,879
100,121
101,819
101,758
101,300
101,485
101,804
102,478
102,1063
102,849
102,260
102,265
103,678
103,1160
103,1112
103,1059
103,1028
104,1130
104,1187
104,1184
104,1030
104,665
105,926
105,335
105,462
105,1032
105,380
106,1189
106,1172
106,1018
106,291
106,358
107,767
107,753
107,1037
107,522
107,664
108,432
108,980
108,684
108,1052
108,383
109,671
109,392
109,49
109,716
109,291
110,918
110,621
110,861
110,424
110,327
112,1129
112,747
112,416
112,1127
112,219
113,208
113,811
113,994
113,488
113,1112
114,227
114,719
114,1163
114,1087
114,1096
117,662
117,1154
117,597
117,541
117,257
118,969
118,939
118,748
118,510
118,977
120,1147
120,312
120,1002
120,509
120,921
121,850
121,822
121,1122
121,725
121,358
123,1054
123,239
123,969
123,1077
123,457
124,115
124,454
124,429
124,866
124,1016
127,903
127,753
127,1193
127,821
127,1073
128,1112
128,981
128,1064
128,503
128,897
129,1059
129,1063
129,495
129,1141
129,406
130,366
130,1001
130,1120
130,954
130,925
133,1035
133,1123
133,1195
133,805
133,778
134,288
134,679
134,242
134,173
134,860
135,869
135,1095
135,964
135,249
135,690
138,1181
138,485
138,754
138,231
138,697
140,659
140,289
140,991
140,387
140,327
141,782
141,1014
141,928
141,1007
141,979
142,418
142,95
142,1063
142,478
142,384
143,501
143,429
143,1157
143,984
143,262
144,276
144,1059
144,256
144,300
144,445
146,669
146,278
146,1132
146,877
146,753
147,62
147,154
147,226
147,1036
147,892
148,293
148,243
148,945
148,411
148,1064
149,239
149,460
149,555
149,363
149,609
150,863
150,616
150,732
150,977
150,541
151,1054
151,65
151,1157
151,866
151,1170
152,114
152,1021
152,548
152,986
152,220
154,1029
154,951
154,1017
154,893
154,929
155,862
155,990
155,769
155,1108
155,991
156,995
156,862
156,908
156,741
156,541
157,592
157,424
157,458
157,244
157,381
158,653
158,476
158,1039
158,763
158,1165
160,977
160,1066
160,591
160,1195
160,336
161,9
161,1183
161,87
161,438
161,987
162,386
162,856
162,452
162,361
162,1126
163,754
163,258
163,210
163,804
163,753
164,971
164,923
164,938
164,1160
164,84
165,1193
165,583
165,673
165,904
165,1087
166,678
166,642
166,24
166,425
166,445
167,228
167,909
167,1154
167,23
167,142
169,1028
169,897
169,27
169,74
169,1120
171,392
171,864
171,686
171,1001
171,711
172,1098
172,464
172,981
172,892
172,914
173,1021
173,514
173,862
173,1142
173,288
174,531
174,971
174,552
174,1177
174,203
175,1054
175,991
175,1056
175,621
175,115
176,670
176,1106
176,476
176,861
176,510
177,968
177,354
177,741
177,457
177,1067
178,941
178,121
178,861
178,608
178,759
179,472
179,976
179,741
179,924
179,1022
180,93
180,249
180,444
180,698
180,772
181,101
181,894
181,574
181,505
181,297
182,291
182,247
182,1189
182,369
182,297
183,226
183,864
183,428
183,402
183,1043
184,242
184,929
184,173
184,368
184,330
185,487
185,176
185,407
185,736
185,847
186,875
186,770
186,514
186,818
186,540
187,1142
187,1178
187,423
187,862
187,1108
188,487
188,1112
188,224
188,208
188,678
189,664
189,578
189,487
189,796
189,994
190,652
190,1025
190,532
190,628
190,1053
191,289
191,1007
191,928
191,1025
191,1122
192,578
192,379
192,686
192,975
192,809
193,1119
193,900
193,958
193,871
193,909
194,405
194,1155
194,423
194,1043
194,243
196,1121
196,220
196,1025
196,972
196,905
197,563
197,846
197,875
197,1187
197,478
198,1070
198,185
198,458
198,277
198,963
199,1057
199,479
199,1158
199,770
199,437
200,121
200,1056
200,403
200,949
200,243
201,326
201,890
201,971
201,273
201,413
202,782
202,571
202,856
202,1072
202,190
203,392
203,990
203,732
203,328
203,818
204,808
204,898
204,744
204,458
204,432
205,190
205,1077
205,1157
205,805
205,901
206,40
206,428
206,142
206,860
206,490
207,10
207,618
207,979
207,934
207,928
208,866
208,631
208,973
208,1038
208,1018
209,740
209,346
209,457
209,1097
209,618
210,1135
210,593
210,711
210,612
210,685
211,491
211,893
211,917
211,933
211,404
212,778
212,890
212,263
212,277
212,244
214,897
214,866
214,1170
214,858
214,579
215,417
215,1043
215,847
215,636
215,938
216,967
216,1039
216,653
216,626
216,578
218,574
218,370
218,879
218,132
218,156
219,1173
219,1114
