ds,yhat
2025-11-01,2374.1235
2025-11-02,2519.6057
2025-11-03,2201.5376
2025-11-04,2053.496
2025-11-05,2351.7437
2025-11-06,1955.2759
2025-11-07,2055.3455
2025-11-08,2063.3865
2025-11-09,2282.5076
2025-11-10,1650.4911
2025-11-11,1648.6572
2025-11-12,1324.4816
2025-11-13,1838.6467
2025-11-14,1993.5748
2025-11-15,1827.1105
2025-11-16,1705.1238
2025-11-17,2286.3303
2025-11-18,2057.2815
2025-11-19,2015.9666
2025-11-20,1974.5032
2025-11-21,2213.5642
2025-11-22,1732.7081
2025-11-23,2162.3174
2025-11-24,1905.4489
2025-11-25,1928.5615
2025-11-26,1873.2115
2025-11-27,2182.7751
2025-11-28,2051.167
2025-11-29,2193.7656
2025-11-30,2344.5986
2025-12-01,2062.7375
2025-12-02,1654.8193
2025-12-03,1571.457
2025-12-04,2071.9822
2025-12-05,1928.4357
2025-12-06,1978.6012
2025-12-07,2369.184
2025-12-08,2266.1792
2025-12-09,1805.1292
2025-12-10,1829.5685
2025-12-11,2005.5782
2025-12-12,2101.9185
2025-12-13,2116.8708
2025-12-14,2126.154
2025-12-15,1995.9292
2025-12-16,2519.8452
2025-12-17,2411.7747
2025-12-18,2318.8174
2025-12-19,2120.541
2025-12-20,2219.9946
2025-12-21,1982.992
2025-12-22,2315.7942
2025-12-23,2110.6345
2025-12-24,2450.3835
2025-12-25,2083.6687
2025-12-26,2489.432
2025-12-27,1995.8417
2025-12-28,2785.4954
2025-12-29,1948.4698
2025-12-30,1909.4042
2025-12-31,1859.9268
2026-01-01,2126.4355
2026-01-02,2162.3467
2026-01-03,1817.5748
2026-01-04,2414.7544
2026-01-05,2108.2605
2026-01-06,2261.6821
2026-01-07,2408.913
2026-01-08,2154.9802
2026-01-09,2121.2397
2026-01-10,2204.7712
2026-01-11,2017.0792
2026-01-12,1985.4219
2026-01-13,2093.9229
2026-01-14,1853.8431
2026-01-15,2434.6196
2026-01-16,1794.2634
2026-01-17,2071.382
2026-01-18,2378.7466
2026-01-19,2528.0396
2026-01-20,1942.0232
2026-01-21,2412.2542
2026-01-22,2081.412
2026-01-23,2193.9578
2026-01-24,2122.445
2026-01-25,2386.5447
2026-01-26,1972.2081
2026-01-27,2879.5527
2026-01-28,2164.0027
2026-01-29,2404.6123
2026-01-30,2280.3066
2026-01-31,2068.735
2026-02-01,2164.0088
2026-02-02,1521.4757
2026-02-03,2195.0122
2026-02-04,1811.11
2026-02-05,2071.5583
2026-02-06,2104.0476
2026-02-07,2110.7297
2026-02-08,2156.5972
2026-02-09,2374.0374
2026-02-10,1764.0303
2026-02-11,1846.4287
2026-02-12,2074.3901
2026-02-13,2125.423
2026-02-14,2164.6367
2026-02-15,2070.9124
2026-02-16,1623.7778
2026-02-17,2219.149
2026-02-18,2664.688
2026-02-19,2083.711
2026-02-20,1914.3301
2026-02-21,2086.1516
2026-02-22,2297.3079
2026-02-23,2171.6843
2026-02-24,1869.7325
2026-02-25,1803.5797
2026-02-26,2283.3396
2026-02-27,2359.9238
2026-02-28,2199.0051
2026-03-01,1963.4944
2026-03-02,1737.4456
2026-03-03,2002.787
2026-03-04,2081.4478
2026-03-05,1908.605
2026-03-06,2101.463
2026-03-07,2003.3945
2026-03-08,2361.5269
2026-03-09,2362.241
2026-03-10,1949.7789
2026-03-11,1911.0437
2026-03-12,2117.62
2026-03-13,2058.3286
2026-03-14,2070.7014
2026-03-15,2287.8696
2026-03-16,1879.804
2026-03-17,1923.8219
2026-03-18,2264.6707
2026-03-19,2162.0332
2026-03-20,2227.898
2026-03-21,2136.1943
2026-03-22,2398.2659
2026-03-23,2309.7788
2026-03-24,2209.0557
2026-03-25,2040.9017
2026-03-26,2401.5408
2026-03-27,1907.0769
2026-03-28,2335.6526
2026-03-29,2361.9824
2026-03-30,1976.5802
2026-03-31,1835.6775
2026-04-01,1974.1993
2026-04-02,2153.9963
2026-04-03,1848.4446
2026-04-04,2134.1494
2026-04-05,2136.5325
2026-04-06,1961.9779
2026-04-07,2291.3704
2026-04-08,2016.5695
2026-04-09,2047.5931
2026-04-10,2636.8499
2026-04-11,1628.4824
2026-04-12,1798.8691
2026-04-13,1694.4929
2026-04-14,2167.926
2026-04-15,2284.941
2026-04-16,2414.3767
2026-04-17,2202.9683
2026-04-18,2025.7839
2026-04-19,2379.1567
2026-04-20,2199.7556
2026-04-21,2033.3625
2026-04-22,2547.8008
2026-04-23,2257.5837
2026-04-24,2247.091
2026-04-25,2211.0513
2026-04-26,2610.359
2026-04-27,1819.1409
2026-04-28,2372.4302
2026-04-29,2396.4863
2026-04-30,2389.612
2026-05-01,2215.9941
2026-05-02,1619.9553
2026-05-03,2661.3235
2026-05-04,2334.444
2026-05-05,1839.0613
2026-05-06,1943.334
2026-05-07,2217.242
2026-05-08,1758.5687
2026-05-09,1936.2076
2026-05-10,2074.5781
2026-05-11,2199.4053
2026-05-12,2299.5337
2026-05-13,2051.666
2026-05-14,2139.0618
2026-05-15,2399.118
2026-05-16,1921.1069
2026-05-17,2205.9421
2026-05-18,1906.6337
2026-05-19,2037.035
2026-05-20,2189.7014
2026-05-21,2039.4479
2026-05-22,2337.8743
2026-05-23,1979.8057
2026-05-24,2223.4944
2026-05-25,2429.1543
2026-05-26,1972.6223
2026-05-27,2301.3694
2026-05-28,2385.713
2026-05-29,2210.4116
2026-05-30,2093.042
2026-05-31,2131.652
2026-06-01,2294.3528
2026-06-02,2378.2825
2026-06-03,2095.5217
2026-06-04,2323.2214
2026-06-05,2265.2107
2026-06-06,2158.271
2026-06-07,1962.7668
2026-06-08,2180.474
2026-06-09,1798.5076
2026-06-10,2065.5562
2026-06-11,2593.063
2026-06-12,2470.92
2026-06-13,1965.1031
2026-06-14,2264.979
2026-06-15,2443.177
2026-06-16,2399.0227
2026-06-17,2447.18
2026-06-18,2505.0288
2026-06-19,2100.7073
2026-06-20,2138.1506
2026-06-21,2099.628
2026-06-22,2183.0757
2026-06-23,2353.4683
2026-06-24,2405.17
2026-06-25,2358.3962
2026-06-26,2304.9329
2026-06-27,2127.4648
2026-06-28,2467.478
2026-06-29,2093.4705
2026-06-30,2011.1113
2026-07-01,2470.5344
2026-07-02,1847.7598
2026-07-03,2085.9841
2026-07-04,2077.7917
2026-07-05,2573.4702
2026-07-06,2114.6316
2026-07-07,2010.5531
2026-07-08,2354.325
2026-07-09,2989.8704
2026-07-10,2163.2085
2026-07-11,2200.7812
2026-07-12,2477.5818
2026-07-13,2107.7368
2026-07-14,2269.8594
2026-07-15,1994.5485
2026-07-16,2517.6318
2026-07-17,1887.7043
2026-07-18,2205.2422
2026-07-19,2371.923
2026-07-20,2105.6326
2026-07-21,2207.4277
2026-07-22,2474.4814
2026-07-23,2212.8364
2026-07-24,2026.7743
2026-07-25,2285.1528
2026-07-26,2366.8535
2026-07-27,2062.4849
2026-07-28,2538.7393
2026-07-29,1999.4513
2026-07-30,2446.8015
2026-07-31,1892.0625
2026-08-01,2364.1282
2026-08-02,2390.1406
2026-08-03,2173.306
2026-08-04,2261.6885
2026-08-05,2229.5125
2026-08-06,2440.8357
2026-08-07,1787.2333
2026-08-08,2126.4214
2026-08-09,2419.4648
2026-08-10,2129.5835
2026-08-11,2282.133
2026-08-12,1806.6361
2026-08-13,2585.7622
2026-08-14,2270.9534
2026-08-15,2099.8643
2026-08-16,2677.4553
2026-08-17,2164.1626
2026-08-18,1974.6254
2026-08-19,2347.521
2026-08-20,2906.162
2026-08-21,1973.7549
2026-08-22,2365.2612
2026-08-23,2322.6814
2026-08-24,2449.0356
2026-08-25,1875.6417
2026-08-26,2234.8804
2026-08-27,2755.0603
2026-08-28,2300.1921
2026-08-29,2303.7974
2026-08-30,2773.1218
2026-08-31,2156.9702
2026-09-01,1877.3959
2026-09-02,1692.214
2026-09-03,2025.2944
2026-09-04,1840.1506
2026-09-05,1883.1917
2026-09-06,2077.6064
2026-09-07,1750.4612
2026-09-08,1675.8029
2026-09-09,1779.0552
2026-09-10,1868.0193
2026-09-11,2178.3857
2026-09-12,1879.2189
2026-09-13,2030.2867
2026-09-14,2423.831
2026-09-15,2167.1968
2026-09-16,2106.7231
2026-09-17,2143.3218
2026-09-18,1653.9082
2026-09-19,2006.4207
2026-09-20,2132.4268
2026-09-21,2069.771
2026-09-22,1680.1453
2026-09-23,1743.7167
2026-09-24,2177.25
2026-09-25,1645.1545
2026-09-26,1829.9993
2026-09-27,2198.6611
2026-09-28,2072.8167
2026-09-29,1836.9148
2026-09-30,2371.6655
2026-10-01,2290.6829
2026-10-02,1838.1522
2026-10-03,2034.6674
2026-10-04,2394.9548
2026-10-05,2300.3577
2026-10-06,2118.9648
2026-10-07,1784.9038
2026-10-08,1765.4323
2026-10-09,2146.246
2026-10-10,2139.6614
2026-10-11,2138.6985
2026-10-12,1891.5879
2026-10-13,1687.2047
2026-10-14,2017.5607
2026-10-15,2589.801
2026-10-16,1845.3947
2026-10-17,1917.4701
2026-10-18,2086.196
2026-10-19,1924.674
2026-10-20,1836.1912
2026-10-21,1765.7695
2026-10-22,2523.7842
2026-10-23,2139.578
2026-10-24,2069.3938
2026-10-25,2370.1934
2026-10-26,1899.218
2026-10-27,2196.3354
2026-10-28,2266.3755
2026-10-29,2559.058
2026-10-30,1790.9722
2026-10-31,2201.5256
